status,country,from_name,to_name,reason,score,occurrences,sample_files,,
approve,GER,Susen Losch,Susen Loesch,iof-fuzzy,dist=1 ratio=0.96,11,"2008/long.csv, 2008/relay.csv, 2008/sprint.csv, 2009/long.csv",,
approve,GER,Hanna Muller,Hanna Mueller,iof-fuzzy,dist=1 ratio=0.96,9,"2011/long.csv, 2011/relay.csv, 2011/sprint.csv, 2012/long.csv",,
approve,GER,Ellen Kluser,Ellen Klueser,iof-fuzzy,dist=1 ratio=0.96,8,"2013/long.csv, 2013/relay.csv, 2013/sprint.csv, 2014/long.csv",,
approve,GER,Erik Dohler,Erik Doehler,iof-fuzzy,dist=1 ratio=0.96,6,"2013/long.csv, 2013/relay.csv, 2013/sprint.csv, 2014/long.csv",,
approve,GER,Felix Spath,Felix Spaeth,iof-fuzzy,dist=1 ratio=0.96,5,"2007/long.csv, 2007/sprint.csv, 2009/long.csv, 2009/relay.csv",,
approve,GER,Dennis Brauer,Dennis Braeuer,iof-fuzzy,dist=1 ratio=0.96,2,"2015/long.csv, 2015/sprint.csv",,
approve,GER,Emil Friedlander,Emil Friedlaender,iof-fuzzy,dist=1 ratio=0.97,2,"2016/long.csv, 2016/sprint.csv",,
approve,GER,Dorothea Miller,Dorothea Mueller,iof-fuzzy,dist=1 ratio=0.97,1,2014/relay.csv,,
approve,HUN,Szalay Levente,Levente Szalay,iof-fuzzy,dist=0 ratio=1.00,2,"2017/long.csv, 2017/sprint.csv",,
approve,IRL,Kevin O'Boyle,Kevin O Boyle,iof-fuzzy,dist=1 ratio=0.92,5,"2007/long.csv, 2007/sprint.csv, 2008/long.csv, 2008/relay.csv",,
approve,IRL,Brien Daire O,Daire O Brien,iof-fuzzy,dist=0 ratio=1.00,3,"2021/long.csv, 2021/relay.csv, 2021/sprint.csv",,
